#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 01 07 05 00 312 10.8 12.2 99.00 99.00 99.00 999 9999.0   9.1 999.0 999.0 99.0 99.00
2024 01 07 06 00 292  6.2  7.5 99.00 99.00 99.00 999 9999.0   8.7 999.0 999.0 99.0 99.00
2024 01 07 07 00 302 12.6 14.1 99.00 99.00 99.00 999 9999.0   9.1 999.0 999.0 99.0 99.00
2024 01 07 08 00 317 11.6 14.2 99.00 99.00 99.00 999 9999.0   9.5 999.0 999.0 99.0 99.00
2024 01 07 09 00 315  9.7 11.1 99.00 99.00 99.00 999 9999.0   8.7 999.0 999.0 99.0 99.00
2024 01 07 10 00 308  9.4 14.0 99.00 99.00 99.00 999 9999.0   8.8 999.0 999.0 99.0 99.00
2024 01 07 11 00   2  8.0  9.3 99.00 99.00 99.00 999 9999.0   7.7 999.0 999.0 99.0 99.00
2024 01 07 12 00 340 11.0 13.2 99.00 99.00 99.00 999 9999.0   8.5 999.0 999.0 99.0 99.00
2024 01 07 13 00 316  7.7  9.4 99.00 99.00 99.00 999 9999.0   8.2 999.0 999.0 99.0 99.00
2024 01 07 14 00 307  9.1 10.8 99.00 99.00 99.00 999 9999.0   8.9 999.0 999.0 99.0 99.00
2024 01 07 15 00 341  6.6  8.2 99.00 99.00 99.00 999 9999.0   8.7 999.0 999.0 99.0 99.00
2024 01 07 16 00 306  9.0 10.2 99.00 99.00 99.00 999 9999.0   9.0 999.0 999.0 99.0 99.00
2024 01 07 17 00 349  6.1  7.7 99.00 99.00 99.00 999 9999.0   7.1 999.0 999.0 99.0 99.00
2024 01 07 18 00 346  6.7  7.5 99.00 99.00 99.00 999 9999.0   8.2 999.0 999.0 99.0 99.00
2024 01 07 19 00 289  5.6  7.3 99.00 99.00 99.00 999 9999.0   8.8 999.0 999.0 99.0 99.00
2024 01 07 20 00 284  5.7  7.2 99.00 99.00 99.00 999 9999.0   8.9 999.0 999.0 99.0 99.00
2024 01 07 21 00 276  7.1  8.1 99.00 99.00 99.00 999 9999.0   9.1 999.0 999.0 99.0 99.00
2024 01 07 22 00 262  2.9  3.6 99.00 99.00 99.00 999 9999.0   7.7 999.0 999.0 99.0 99.00
2024 01 07 23 00 297  2.6  3.2 99.00 99.00 99.00 999 9999.0   8.7 999.0 999.0 99.0 99.00
2024 01 08 00 00 290  4.9  6.1 99.00 99.00 99.00 999 9999.0   9.1 999.0 999.0 99.0 99.00
2024 01 08 01 00 290  4.3  5.1 99.00 99.00 99.00 999 9999.0   9.1 999.0 999.0 99.0 99.00
2024 01 08 02 00 339  5.9  6.7 99.00 99.00 99.00 999 9999.0   8.5 999.0 999.0 99.0 99.00
2024 01 08 03 00 107  1.5  1.9 99.00 99.00 99.00 999 9999.0   7.0 999.0 999.0 99.0 99.00
2024 01 08 04 00  88  1.2  1.3 99.00 99.00 99.00 999 9999.0   6.3 999.0 999.0 99.0 99.00
2024 01 08 05 00  82  1.1  1.3 99.00 99.00 99.00 999 9999.0   6.1 999.0 999.0 99.0 99.00
2024 01 08 06 00 110  1.4  1.6 99.00 99.00 99.00 999 9999.0   6.2 999.0 999.0 99.0 99.00
2024 01 08 07 00 107  1.4  1.7 99.00 99.00 99.00 999 9999.0   5.8 999.0 999.0 99.0 99.00
2024 01 08 08 00  93  1.0  1.2 99.00 99.00 99.00 999 9999.0   6.0 999.0 999.0 99.0 99.00
2024 01 08 09 00 108  1.6  2.2 99.00 99.00 99.00 999 9999.0   5.8 999.0 999.0 99.0 99.00
2024 01 08 10 00 125  2.4  2.9 99.00 99.00 99.00 999 9999.0   5.9 999.0 999.0 99.0 99.00
2024 01 08 11 00 118  2.2  2.8 99.00 99.00 99.00 999 9999.0   6.0 999.0 999.0 99.0 99.00
2024 01 08 12 00 134  3.3  4.7 99.00 99.00 99.00 999 9999.0   6.1 999.0 999.0 99.0 99.00
2024 01 08 13 00 139  4.2  5.1 99.00 99.00 99.00 999 9999.0   6.1 999.0 999.0 99.0 99.00
2024 01 08 14 00 103  1.9  2.6 99.00 99.00 99.00 999 9999.0   6.1 999.0 999.0 99.0 99.00
2024 01 08 15 00 115  3.7  4.6 99.00 99.00 99.00 999 9999.0   6.1 999.0 999.0 99.0 99.00
2024 01 08 16 00 133  2.8  3.7 99.00 99.00 99.00 999 9999.0   6.4 999.0 999.0 99.0 99.00
2024 01 08 17 00 167  5.7  7.4 99.00 99.00 99.00 999 9999.0   7.1 999.0 999.0 99.0 99.00
2024 01 08 18 00 187 13.1 15.6 99.00 99.00 99.00 999 9999.0   8.5 999.0 999.0 99.0 99.00
2024 01 08 19 00 190 14.7 18.5 99.00 99.00 99.00 999 9999.0   8.8 999.0 999.0 99.0 99.00
2024 01 08 20 00 189 14.5 17.5 99.00 99.00 99.00 999 9999.0   9.2 999.0 999.0 99.0 99.00
2024 01 08 21 00 194 14.2 16.7 99.00 99.00 99.00 999 9999.0  10.1 999.0 999.0 99.0 99.00
2024 01 08 22 00 195 14.1 17.8 99.00 99.00 99.00 999 9999.0  10.1 999.0 999.0 99.0 99.00
2024 01 08 23 00 194 13.1 15.6 99.00 99.00 99.00 999 9999.0  10.4 999.0 999.0 99.0 99.00
2024 01 09 00 00 193 14.4 16.9 99.00 99.00 99.00 999 9999.0  10.6 999.0 999.0 99.0 99.00
2024 01 09 01 00 196 13.1 15.1 99.00 99.00 99.00 999 9999.0  10.9 999.0 999.0 99.0 99.00
2024 01 09 02 00 193 14.0 16.5 99.00 99.00 99.00 999 9999.0  11.0 999.0 999.0 99.0 99.00
2024 01 09 03 00 195 13.3 16.0 99.00 99.00 99.00 999 9999.0  11.1 999.0 999.0 99.0 99.00
2024 01 09 04 00 212 14.0 16.1 99.00 99.00 99.00 999 9999.0  11.4 999.0 999.0 99.0 99.00
2024 01 09 05 00 202 13.2 15.8 99.00 99.00 99.00 999 9999.0  11.4 999.0 999.0 99.0 99.00
2024 01 09 06 00 199 14.0 17.2 99.00 99.00 99.00 999 9999.0  11.4 999.0 999.0 99.0 99.00
2024 01 09 07 00 204 16.8 19.8 99.00 99.00 99.00 999 9999.0  11.2 999.0 999.0 99.0 99.00
2024 01 09 08 00 235 12.7 15.1 99.00 99.00 99.00 999 9999.0   9.7 999.0 999.0 99.0 99.00
2024 01 09 09 00 251 13.9 17.2 99.00 99.00 99.00 999 9999.0  11.3 999.0 999.0 99.0 99.00
2024 01 09 10 00 246 13.8 16.2 99.00 99.00 99.00 999 9999.0  10.1 999.0 999.0 99.0 99.00
2024 01 09 11 00 244 11.7 14.0 99.00 99.00 99.00 999 9999.0   8.7 999.0 999.0 99.0 99.00
2024 01 09 12 00 246 12.6 15.5 99.00 99.00 99.00 999 9999.0   9.8 999.0 999.0 99.0 99.00
2024 01 09 13 00 257 11.7 13.6 99.00 99.00 99.00 999 9999.0  10.0 999.0 999.0 99.0 99.00
2024 01 09 14 00 266 13.6 15.5 99.00 99.00 99.00 999 9999.0   9.5 999.0 999.0 99.0 99.00
2024 01 09 15 00 263 13.0 15.6 99.00 99.00 99.00 999 9999.0   9.3 999.0 999.0 99.0 99.00
2024 01 09 16 00 254 12.7 14.3 99.00 99.00 99.00 999 9999.0   9.2 999.0 999.0 99.0 99.00
2024 01 09 17 00 283 14.5 18.8 99.00 99.00 99.00 999 9999.0   8.4 999.0 999.0 99.0 99.00
2024 01 09 18 00 283 14.4 18.1 99.00 99.00 99.00 999 9999.0   9.0 999.0 999.0 99.0 99.00
2024 01 09 19 00 282 15.5 18.6 99.00 99.00 99.00 999 9999.0   9.0 999.0 999.0 99.0 99.00
